Voter,FUNDING,CONCRETE_ATTRACTFISH,CONCRETE_WORSEWQ,CONCRETE_SEDSTABILIZE,CONCRETE_DAMAGEHAB,CONCRETE_RESTORETOOL,TIRE_ATTRACTFISH,TIRE_WORSEWQ,TIRE_SEDSTABILIZE,TIRE_DAMAGEHAB,TIRE_RESTORETOOL,ACTION_MONITOR,ACTION_STABILIZE,ACTION_COVER,ACTION_REMOVEPART,ACTION_REMOVEALL,COMMENTS1,COMMENTS2,Sample
tac003,Neutral,4,2,4,3,3,1,6,1,6,1,1,3,3,5,10,,,TAC
tac004,Supportive,5,1,6,3,5,2,5,3,3,2,1,6,7,10,8,,,TAC
tac005,Supportive,5,1,3,3,3,3,6,5,5,1,1,1,1,10,10,,,TAC
tac006,Neutral,4,3,4,3,5,4,3,4,3,4,5,4,8,3,1,,,TAC
tac007,Supportive,4,2,4,1,5,3,6,3,3,1,1,9,7,10,3,,,TAC
tac008,Supportive,5,3,4,4,5,4,5,3,3,4,5,6,6,8,7,,,TAC
tac009,Supportive,4,5,3,1,4,1,5,2,2,2,2,2,2,10,7,,,TAC
tac010,Neutral,,,,,,,,,,,,,,,,,,TAC
tac011,Supportive,,,,,,,,,,,,,,,,,,TAC
tac012,Supportive,5,2,3,1,4,3,6,2,6,1,3,4,4,10,10,,,TAC
tac013,Supportive,3,5,5,2,4,2,5,3,5,1,1,5,6,8,8,,,TAC
tac014,Neutral,4,3,2,3,4,2,5,3,4,2,8,6,5,8,10,,,TAC
tac015,Supportive,,,,,,,,,,,,,,,,,,TAC
tac016,Supportive,6,6,5,1,3,,,,,,,,,,,,,TAC
tac017,Supportive,4,2,2,2,5,2,5,5,4,2,6,3,3,7,10,"It seems encapsulation could cost just as much as removal. In my mind, removal is the best option, considering the potential for tires to leach toxic chemicals such as 6PPDQ.",,TAC
tac018,Neutral,4,5,4,6,3,1,6,1,6,1,1,1,1,5,10,I'm curious about whether the benthic organisms are moved to nearby hardbottom habitats or whether they're sacrificed during removal.,I noted that there are some coral misidentifications in the project: there were Solenastrea species corals in the photos but this genus was not listed in the species summary. (I'm a coral biologist.),TAC
tac019,Supportive,5,2,5,2,5,2,5,3,5,1,3,1,1,9,9,"https://floridadep.gov/waste/permitting-compliance-assistance/content/osborne-reef-waste-tire-removal-project
Perhaps can get funding and implement removal like this; surprisingly fast but $$$","Removal would be best, addresses enviro concerns permanently, tires are not providing much benefit and reduced benefit as they move around and degrade.",TAC
tac020,Supportive,5,2,4,2,5,2,5,2,5,1,1,2,1,10,10,,,TAC
tac021,Supportive,6,1,5,1,6,4,3,2,4,3,4,10,5,5,1,"The tire reef has been in place for 60 years, so I feel any environmental damage (leaching etc). has been done. The tires do appear to support a healthy epifaunal community and attract fish.","Additionally, I feel removal would do more damage to the existing epifaunal community that has been established on the tires.",TAC
tac022,Supportive,6,1,4,1,6,2,6,2,2,1,6,10,6,10,6,,,TAC
tac023,Supportive,2,4,4,4,5,5,4,4,4,2,8,5,1,1,1,,,TAC
tac024,Supportive,4,2,1,3,5,1,6,1,6,1,3,7,7,10,1,"I think monitoring is a good option to include for all approaches, opportunity to collect pre- post- water quality and biotic data. It would help inform additional projects for tire reefs overtime.",The epibiota observed appear to be more resilient to the conditions imposed by human uses of the water/sea level & chemistry changes. It might not be beneficial to remove large tire densities/epibiota,TAC
tac025,Supportive,5,1,5,1,5,5,1,5,1,5,9,8,5,4,2,,,TAC
tac026,Supportive,4,3,2,3,2,,,,,,,,,,,,,TAC
tac027,Supportive,6,1,6,4,6,,,,,,,,,,,,,TAC
tac028,Supportive,6,3,6,3,5,6,2,6,4,3,10,4,5,6,10,Encasement will require periodic maintenance over decades.,,TAC
tac029,Supportive,6,2,2,2,5,4,5,1,6,1,1,1,1,7,10,"With more active hurricane seasons coming, alternatives to tires should be prioritized.",,TAC
tac030,Supportive,4,1,4,3,4,2,6,3,5,1,2,5,5,10,5,,,TAC
tac031,Supportive,3,3,5,4,4,3,5,3,2,2,4,6,5,9,10,,,TAC
tac032,Supportive,5,2,5,3,5,1,1,2,6,1,1,8,1,9,9,,,TAC
tac033,Supportive,6,1,6,1,6,6,6,5,6,1,1,1,1,1,10,Let’s remove the tires!!,,TAC
tac034,Opposed,3,2,3,4,5,4,5,1,6,1,7,7,4,7,5,,,TAC
tac035,Supportive,5,2,4,3,3,1,6,1,6,1,1,7,7,10,8,I hope we can maximize removing toxic leaching materials but understand maximizing cost efficacy. Long-term full removal over locking tires with concrete in due to continued benthic pollution.,,TAC
tac036,Supportive,,,,,,,,,,,,,,,,,,TAC
tac037,Supportive,5,2,5,3,5,2,5,4,5,2,9,9,5,5,5,,,TAC
